Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
reach,Accounts reached,1646,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
website_clicks,Website link taps,1,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
profile_views,Profile visits,69,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
total_interactions,Content interactions,227,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
likes,Likes,201,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
comments,Comments,9,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
shares,Shares,4,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
saves,Saves,10,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
replies,Replies,3,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
views,Views,3054,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
follows_and_unfollows,Follows and unfollows,0,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
profile_links_taps,Profile links taps,0,2025-04-18 11:03:11.383957,2025-04-18,2025,April,18,11:03:11
reach,Accounts reached,2118,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
website_clicks,Website link taps,1,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
profile_views,Profile visits,85,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
total_interactions,Content interactions,204,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
likes,Likes,181,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
comments,Comments,3,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
shares,Shares,7,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
saves,Saves,11,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
replies,Replies,2,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
views,Views,3476,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
follows_and_unfollows,Follows and unfollows,0,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
profile_links_taps,Profile links taps,0,2025-04-19 11:02:52.410398,2025-04-19,2025,April,19,11:02:52
reach,Accounts reached,2033,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
website_clicks,Website link taps,2,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
profile_views,Profile visits,113,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
total_interactions,Content interactions,271,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
likes,Likes,223,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
comments,Comments,16,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
shares,Shares,2,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
saves,Saves,29,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
replies,Replies,1,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
views,Views,3858,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
follows_and_unfollows,Follows and unfollows,0,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
profile_links_taps,Profile links taps,0,2025-04-21 19:02:30.121221,2025-04-21,2025,April,21,19:02:30
reach,Accounts reached,1910,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
website_clicks,Website link taps,2,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
profile_views,Profile visits,122,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
total_interactions,Content interactions,378,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
likes,Likes,318,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
comments,Comments,23,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
shares,Shares,15,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
saves,Saves,20,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
replies,Replies,2,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
views,Views,3984,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
follows_and_unfollows,Follows and unfollows,0,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
profile_links_taps,Profile links taps,0,2025-04-23 19:06:45.558060,2025-04-23,2025,April,23,19:06:45
reach,Accounts reached,3023,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
website_clicks,Website link taps,3,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
profile_views,Profile visits,132,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
total_interactions,Content interactions,516,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
likes,Likes,455,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
comments,Comments,23,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
shares,Shares,11,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
saves,Saves,25,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
